title,price,year,km,url,petrol,transmission,model,site,use_type
Mercedes Benz GLA 200d auto,430000.0,2018,31000.0,/cars/mercedes-benz-gla-200d-auto-2018-id-5752846,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz C-Class Sedan C180 A/T,130000.0,2011,88000.0,/cars/mercedes-benz-c-class-sedan-c180-a-t-2011-id-5755554,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz 200D C200 kompressor,120000.0,2008,108000.0,/cars/mercedes-benz-200d-c200-kompressor-2008-id-5745694,,,Unknown,https://www.automart.co.za,
Mercedes Benz C-Class Sedan C200 AMG LINE A/T,390000.0,2017,76000.0,/cars/mercedes-benz-c-class-sedan-c200-amg-line-a-t-2017-id-5877891,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class Sedan C180 A/T,130000.0,2011,88000.0,/cars/mercedes-benz-c-class-sedan-c180-a-t-2011-id-5755555,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class C200 Edition C,158000.0,2013,119000.0,/cars/mercedes-benz-c-class-c200-edition-c-2013-id-5777585,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz A-Class Hatch A 250 AMG A/T,320000.0,2016,35000.0,/cars/mercedes-benz-a-class-hatch-a-250-amg-a-t-2016-id-5863896,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz C-Class Coupe ,215000.0,2013,115000.0,/cars/mercedes-benz-c-class-coupe-2013-id-5760377,,,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class C220d Edition C,315000.0,2016,83000.0,/cars/mercedes-benz-c-class-c220d-edition-c-2016-id-5757913,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 AMG Sports auto,345000.0,2017,86000.0,/cars/mercedes-benz-c-class-c180-amg-sports-auto-2017-id-5876408,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C180 AMG Sports auto,345000.0,2017,86000.0,/cars/mercedes-benz-c-class-c180-amg-sports-auto-2017-id-5876410,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C Class C200 AMG Sports auto,430000.0,2018,58000.0,/cars/mercedes-benz-c-class-c200-amg-sports-auto-2018-id-5746385,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLA 200d auto,430000.0,2018,31000.0,/cars/mercedes-benz-gla-200d-auto-2018-id-5752798,Diesel,Automatic,GL,https://www.automart.co.za,
Mercedes Benz A Class A45 AMG 4Matic Edition 1,440000.0,2017,61000.0,/cars/mercedes-benz-a-class-a45-amg-4matic-edition-1-2017-id-5797182,Petrol,Automatic,A-Class,https://www.automart.co.za,
Mercedes Benz C Class C200CDI Avantgarde,190000.0,2015,120000.0,/cars/mercedes-benz-c-class-c200cdi-avantgarde-2015-id-5747214,Diesel,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class C180 Edition C,310000.0,2015,84000.0,/cars/mercedes-benz-c-class-c180-edition-c-2015-id-5753146,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz C-Class Sedan C200 AVANTGARDE A/T,150000.0,2011,121000.0,/cars/mercedes-benz-c-class-sedan-c200-avantgarde-a-t-2011-id-5747170,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLA 45 AMG 4Matic,395000.0,2015,69000.0,/cars/mercedes-benz-gla-45-amg-4matic-2015-id-5866115,Petrol,Automatic,GL,https://www.automart.co.za,
Mercedes Benz Sprinter 515 Diesel 515 Manual 23 seaters,295000.0,2013,257000.0,/cars/mercedes-benz-sprinter-515-diesel-515-manual-23-seaters-2013-id-5729737,,,Sprinter,https://www.automart.co.za,
Mercedes Benz Sprinter 519 Diesel  Automatic 23 seaters,425000.0,2015,298000.0,/cars/mercedes-benz-sprinter-519-diesel-automatic-23-seaters-2015-id-5729735,,,Sprinter,https://www.automart.co.za,
Mercedes Benz Sprinter 518 Bus with 23 seaters,295000.0,2013,289000.0,/cars/mercedes-benz-sprinter-518-bus-with-23-seaters-2013-id-5882606,,,Sprinter,https://www.automart.co.za,
Mercedes Benz C Class C180 AMG Sports auto,498900.0,2018,16800.0,/cars/mercedes-benz-c-class-c180-amg-sports-auto-2018-id-5747400,Petrol,Automatic,C-Class,https://www.automart.co.za,
Mercedes Benz GLE 350d,688900.0,2017,78000.0,/cars/mercedes-benz-gle-350d-2017-id-5784779,Diesel,Automatic,GL,https://www.automart.co.za,
